"number","assignment_group","assigned_to","sys_updated_by","closed_by","rule.priority","tenant_id","state","item","item.item_id","decision","rule.id","deleted","sys_created_on","sys_updated_on","closed_at","first_opened","decision_method","closefirstopenedtask","reopentask","item.abstract_product_id"
"RRTASK121772726","US - Marketplace Item Risk Reviewers PHL","","vn585ut","MAHJID KHURSHEED - Vendor (vn585ut)","P1","Item-US-0","Closed Incomplete","Ontario Knife Company Rat II, Black Coated AUS-8 Stainless Steel Drop-Point Blade Folding Pocket Knife, Bone-Colored Nylon Handle Liner Lock Knife, Everyday Carry Knife – ON8862BONE","15868018436","Review","2761","true","2025-03-30 03:48:27","2025-03-30 11:17:38","2025-03-30 11:17:38","","Manual","0","0",""
"RRTASK121774674","US - Marketplace Item Risk Reviewers PHL","","vn585ut","MAHJID KHURSHEED - Vendor (vn585ut)","P1","Item-US-0","Closed Incomplete","Scallion Pocket Knife (1620FL); 2.4 Inch 420HC Stainless Steel Blade and 410 Steel Handle, Featuring SpeedSafe Assisted Opening, Flipper, Lanyard Hole, Secure Frame Lock and Tip Lock; 2.9 OZ, Small","15845709573","Review","2761","true","2025-03-30 04:10:25","2025-03-30 11:05:43","2025-03-30 11:05:43","","Manual","0","0",""
"RRTASK121774676","US - Marketplace Item Risk Reviewers PHL","","vn585ut","MAHJID KHURSHEED - Vendor (vn585ut)","P1","Item-US-0","Closed Incomplete","Scallion Pocket Knife (1620FL); 2.4 Inch 420HC Stainless Steel Blade and 410 Steel Handle, Featuring SpeedSafe Assisted Opening, Flipper, Lanyard Hole, Secure Frame Lock and Tip Lock; 2.9 OZ, Small","15845709573","Review","8881","true","2025-03-30 04:10:25","2025-03-30 11:05:43","2025-03-30 11:05:43","","Manual","0","0",""
"RRTASK121774753","US - Marketplace Item Risk Reviewers PHL","","vn585ut","MAHJID KHURSHEED - Vendor (vn585ut)","P1","Item-US-0","Closed Incomplete","Craze Folding Pocket Knife, EDC Friendly, 2.35 Inch Blade, Duralock, Black GFN Handle, Bottle Opener, Pocket Clip","15844350542","Review","2761","true","2025-03-30 04:10:49","2025-03-30 11:19:08","2025-03-30 11:19:08","","Manual","0","0",""
"RRTASK121774754","US - Marketplace Item Risk Reviewers PHL","","vn585ut","MAHJID KHURSHEED - Vendor (vn585ut)","P1","Item-US-0","Closed Incomplete","Craze Folding Pocket Knife, EDC Friendly, 2.35 Inch Blade, Duralock, Black GFN Handle, Bottle Opener, Pocket Clip","15844350542","Review","3032","true","2025-03-30 04:10:49","2025-03-30 11:19:08","2025-03-30 11:19:08","","Manual","0","0",""
"RRTASK121778598","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-US-0","Open","28 Piece Beach Sand Toy Set,Water Wheel, Shovels, Rakes, Watering guns, Molds","692647873","Review","8860","true","2025-03-30 04:42:44","2025-03-30 04:42:46","","","Manual","0","0",""
"RRTASK121778597","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P1","Item-US-0","Open","28 Piece Beach Sand Toy Set,Water Wheel, Shovels, Rakes, Watering guns, Molds","692647873","Review","6664","true","2025-03-30 04:42:44","2025-03-30 04:42:46","","","Manual","0","0",""
"RRTASK121791241","US - Marketplace Item Risk Reviewers PHL","","vn54f7a","Ronjohn Locsin - Vendor (vn54f7a)","P2","Item-CA-1","Closed Incomplete","AIR-Cool Anime Girl Tapestry Cute Tapestry for Bedroom Aesthetic Purple Tapestry Wall Hanging for Bedroom and Living Room Purple, Tapestry 420 Cool Weed 60×35 Inches","15874161171","Review","1806","true","2025-03-30 11:20:24","2025-03-30 19:00:45","2025-03-30 19:00:45","","Manual","0","0",""
"RRTASK121791544","US - Marketplace Item Risk Reviewers PHL","","vn54aba","Danison Delfino - Vendor (vn54aba)","P2","Item-CA-1","Closed Incomplete","AIR-Mens F*cking Magical Leprechaun Tshirt Funny Offensive Saint Patrick's Day Parade Graphic Novelty Tee for Guys","15872552426","Review","1643","true","2025-03-30 11:29:23","2025-03-30 19:23:05","2025-03-30 19:23:05","","Manual","0","0",""
"RRTASK121791546","US - Marketplace Item Risk Reviewers PHL","","vn54aba","Danison Delfino - Vendor (vn54aba)","P2","Item-CA-1","Closed Incomplete","AIR-Mens F*cking Magical Leprechaun Tshirt Funny Offensive Saint Patrick's Day Parade Graphic Novelty Tee for Guys","15871918832","Review","1643","true","2025-03-30 11:29:35","2025-03-30 19:20:40","2025-03-30 19:20:40","","Manual","0","0",""
"RRTASK121791548","US - Marketplace Item Risk Reviewers PHL","","vn54aba","Danison Delfino - Vendor (vn54aba)","P2","Item-CA-1","Closed Incomplete","AIR-Mens F*cking Magical Leprechaun Tshirt Funny Offensive Saint Patrick's Day Parade Graphic Novelty Tee for Guys","15893060997","Review","1643","true","2025-03-30 11:29:35","2025-03-30 19:21:02","2025-03-30 19:21:02","","Manual","0","0",""
"RRTASK121791550","US - Marketplace Item Risk Reviewers PHL","","vn54aba","Danison Delfino - Vendor (vn54aba)","P2","Item-CA-1","Closed Incomplete","AIR-Mens F*cking Magical Leprechaun Tshirt Funny Offensive Saint Patrick's Day Parade Graphic Novelty Tee for Guys","15893215517","Review","1643","true","2025-03-30 11:29:55","2025-03-30 19:21:24","2025-03-30 19:21:24","","Manual","0","0",""
"RRTASK121791722","US - Marketplace Item Risk Reviewers PHL","","vn57azm","Mihir Krishna - Vendor (vn57azm)","P1","Item-US-0","Closed Incomplete","SOG Terminus XR Ergonomic Ambidextrous Lightweight Sleek Balanced Folding Knife| G10 Carbon Fiber Handle | S35VN Steel Blade","15860767496","Review","8881","true","2025-03-30 11:31:15","2025-03-30 13:24:34","2025-03-30 13:24:34","","Manual","0","0",""
"RRTASK74827746","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","TnS Automation (svcsn_tns)","P3","Item-US-0","Closed Incomplete","Samson Concert 88 Module for XP310/XP312 with DE5 Headset Mic (CB88/CR88A) - K Band","800787599","Review","2135","true","2025-03-30 15:58:11","2025-03-30 15:58:17","2025-03-30 15:58:17","","Manual","0","0",""
"RRTASK98672553","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P2","Item-US-0","Open","Sikiie Drink And Cocktail Glasses Baby Newborn Receiving Blanket with and Beanie Set Baby Swaddle Print Nursery Swaddle Wrap","12020720048","Review","1971","false","2025-03-30 17:09:52","2025-03-30 17:09:52","","","Manual","0","0",""
"RRTASK121800265","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Kids T Shirts Short Boys Thermal Tops Sleeve Plain Tops Tees Boys Hooded Shirt Long Sleeve Boy & Girl Unisex Boy Long Sleeve Toddler Children Crew Neck Little Boys T Shirt","15870812112","Review","3282","false","2025-03-30 21:21:28","2025-03-30 21:21:28","","","Manual","0","0","5XCTT4WA0JC6"
"RRTASK121800292","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Kids Sweatshirt Girls Hoodies Cute Oversized Fleece Cat Hoodies for Kids Pocket Sweatshirt Tops","15872718516","Review","3282","false","2025-03-30 21:21:38","2025-03-30 21:21:38","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800293","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Teen Girl Sweaters Hoodies Cute Oversized Fleece Hoodie for Girls Teens Pocket Sweatshirt Tops","15872718521","Review","3282","false","2025-03-30 21:21:38","2025-03-30 21:21:38","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800289","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Youth Boys Clothes Hoodies Cute Oversized Fleece Girls Dance Sweatshirt Pocket Sweatshirt Tops","15873363906","Review","3282","false","2025-03-30 21:21:38","2025-03-30 21:21:38","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800290","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Boy Winter Clothes Hoodies Cute Oversized Fleece Sweater for Teen Girls Pocket Sweatshirt Tops","15850109056","Review","3282","false","2025-03-30 21:21:38","2025-03-30 21:21:38","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800291","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve 18 Month Boy Hoodie Hoodies Cute Oversized Fleece Chopstick Hoodie Pocket Sweatshirt Tops","15894060714","Review","3282","false","2025-03-30 21:21:38","2025-03-30 21:21:38","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800296","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve infant Boy Zip Up Hoodie Hoodies Cute Oversized Fleece Lightweight Jacket Pocket Sweatshirt Tops","15837501238","Review","3282","false","2025-03-30 21:21:39","2025-03-30 21:21:39","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800297","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Girls Sweaters Size 8 Hoodies Cute Oversized Fleece Boys Fleece Pocket Sweatshirt Tops","15881814854","Review","3282","false","2025-03-30 21:21:39","2025-03-30 21:21:39","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800298","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Girls Hooded Fleece Jacket Hoodies Cute Oversized Fleece Toddler Fleece Zip Up Pocket Sweatshirt Tops","15872718517","Review","3282","false","2025-03-30 21:21:39","2025-03-30 21:21:39","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800295","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Cat Ear Sweater for Girls Hoodies Cute Oversized Fleece Winter Clothes for Boys Pocket Sweatshirt Tops","15893915233","Review","3282","false","2025-03-30 21:21:39","2025-03-30 21:21:39","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800301","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Toddler Fleece Zip Up Hoodies Cute Oversized Fleece for Girls Teens Pocket Sweatshirt Tops","15873413804","Review","3282","false","2025-03-30 21:21:40","2025-03-30 21:21:40","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800304","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Preschool Boy Clothes Hoodies Cute Oversized Fleece 5T Sweater Pocket Sweatshirt Tops","15837501237","Review","3282","false","2025-03-30 21:21:40","2025-03-30 21:21:40","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800305","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve 18 Month Jacket Hoodies Cute Oversized Fleece Babies Sweaters Boy Pocket Sweatshirt Tops","15899205824","Review","3282","false","2025-03-30 21:21:40","2025-03-30 21:21:40","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800306","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Boys 2T Winter Clothes Hoodies Cute Oversized Fleece Toddler Boy Zip Up Jacket Pocket Sweatshirt Tops","15894115044","Review","3282","false","2025-03-30 21:21:40","2025-03-30 21:21:40","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800307","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Sweater Toddler Girl Hoodies Cute Oversized Fleece Hoodies for Small Boys Pocket Sweatshirt Tops","15848850778","Review","3282","false","2025-03-30 21:21:40","2025-03-30 21:21:40","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800308","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve 12 Month Zip Up Hoodie Hoodies Cute Oversized Fleece Boy Winter Clothes Pocket Sweatshirt Tops","15870812124","Review","3282","false","2025-03-30 21:21:41","2025-03-30 21:21:41","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800311","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Plush Pullover Girls Hoodies Cute Oversized Fleece Cute Hoodies for Youth Girls Pocket Sweatshirt Tops","15893865439","Review","3282","false","2025-03-30 21:21:41","2025-03-30 21:21:41","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800309","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve 18 Month Boy Hoodie Hoodies Cute Oversized Fleece Hoodies Sweatshirts Pocket Sweatshirt Tops","15848850780","Review","3282","false","2025-03-30 21:21:41","2025-03-30 21:21:41","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800310","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Girls Fleece Lined Hoodie Hoodies Cute Oversized Fleece Girls Hooded Jacket Pocket Sweatshirt Tops","15872718518","Review","3282","false","2025-03-30 21:21:41","2025-03-30 21:21:41","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800312","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Boy Sweatshirt Hoodies Cute Oversized Fleece Winter Clothes for Boys Pocket Sweatshirt Tops","15837401598","Review","3282","false","2025-03-30 21:21:41","2025-03-30 21:21:41","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800314","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve 6T Boys Clothes Hoodies Cute Oversized Fleece Hoodies for Teen Boys 16-18 Pocket Sweatshirt Tops","15870762209","Review","3282","false","2025-03-30 21:21:41","2025-03-30 21:21:41","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800321","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Hoodie for Girls Teens Hoodies Cute Oversized Fleece Fall Sweaters for Toddler Boy Pocket Sweatshirt Tops","15894015077","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800322","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve 18Month Jacket Hoodies Cute Oversized Fleece Boys 2T Winter Clothes Pocket Sweatshirt Tops","15872768112","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800315","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Twin Baby Winter Clothes Hoodies Cute Oversized Fleece Girls Sweater Zipper Pocket Sweatshirt Tops","15848850779","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800316","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Toddler Hoodies for Boys 4T Hoodies Cute Oversized Fleece Preschool Boy Clothes Pocket Sweatshirt Tops","15870812123","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800317","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Youth Large Hoodies Cute Oversized Fleece Girls Sweaters Size 8 Pocket Sweatshirt Tops","15873152103","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800318","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Boys Jacket 2T Hoodies Cute Oversized Fleece Teens Hoodies Boys Pocket Sweatshirt Tops","15893915235","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800320","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Girls Fleece Lined Hoodie Hoodies Cute Oversized Fleece Toddler Hoodie Zipper Pocket Sweatshirt Tops","15872668729","Review","3282","false","2025-03-30 21:21:42","2025-03-30 21:21:42","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800323","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Toddler Boys Windbreaker Hoodies Cute Oversized Fleece Mirrors Edge Hoodie Pocket Sweatshirt Tops","15894060717","Review","3282","false","2025-03-30 21:21:52","2025-03-30 21:21:52","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800332","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Toddler Boys Jacket Soft Sweatshirt Graphic Hoody Teen Sweatshirts for Girls Kids Cute Pullovers Top Purge Suits Boys Clothes for Girls","15893865463","Review","3282","false","2025-03-30 21:21:53","2025-03-30 21:21:53","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800327","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Youth Boys Clothes Hoodies Cute Oversized Fleece Twin Baby Winter Clothes Pocket Sweatshirt Tops","15893915237","Review","3282","false","2025-03-30 21:21:53","2025-03-30 21:21:53","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800328","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Teenagers Clothes Soft Sweatshirt Graphic Hoody Sweatshirts Teen Boys Kids Cute Pullovers Top Girls Fleece Lined Sweatshirt Clothes for Girls","15831773183","Review","3282","false","2025-03-30 21:21:53","2025-03-30 21:21:53","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800329","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Baby Girls Hoodie Soft Sweatshirt Graphic Hoody Hoodies for Baby Boy 18 Months Kids Cute Pullovers Top Zip Up Hoodie infant Clothes for Girls","15808566111","Review","3282","false","2025-03-30 21:21:53","2025-03-30 21:21:53","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800331","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Thin Hoodies for Boys Soft Sweatshirt Graphic Hoody Size 14 Boys Clothes Kids Cute Pullovers Top Cropped Fleece Hoodie Clothes for Girls","15872718545","Review","3282","false","2025-03-30 21:21:53","2025-03-30 21:21:53","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800336","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Knit Sweater for Girls Soft Sweatshirt Graphic Hoody Boys Zip Cardigan Kids Cute Pullovers Top Junior Girl Clothes for Girls","15894015099","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800337","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Hoodies for Teen Boys 16-18 Soft Sweatshirt Graphic Hoody Boys 4T Jacket Kids Cute Pullovers Top Potato Hoodie Clothes for Girls","15874861624","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800338","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Jacket Baby Boy Soft Sweatshirt Graphic Hoody Cat Ear Sweater for Girls Kids Cute Pullovers Top Toddler Boy Fall Clothes for Girls","15899205851","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800340","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Boy Fall Clothes Soft Sweatshirt Graphic Hoody Toddler Sweatshirt Kids Cute Pullovers Top Baby Sweater 12-18 Months Clothes for Girls","15894115064","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800334","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girls Casual Long Sleeve Baby Hoodies for Boys Hoodies Cute Oversized Fleece Girls Hooded Fleece Jacket Pocket Sweatshirt Tops","15872718522","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","6T6URQE7IC94"
"RRTASK121800335","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Hoodies for Teen Girls Cat Ears Soft Sweatshirt Graphic Hoody Hoodies for Baby Boy 18 Months Kids Cute Pullovers Top Zip Up Girls Clothes for Girls","15861467212","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800341","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Preschool Boy Clothes Soft Sweatshirt Graphic Hoody Size 14 Boys Clothes Kids Cute Pullovers Top Teen Boy Sweat Shirts Clothes for Girls","15870812153","Review","3282","false","2025-03-30 21:21:54","2025-03-30 21:21:54","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800344","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Girls Zip Up Sweater Soft Sweatshirt Graphic Hoody Teen Girl Sweaters Kids Cute Pullovers Top Thin Hoodies for Boys Clothes for Girls","15894115065","Review","3282","false","2025-03-30 21:21:55","2025-03-30 21:21:55","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800345","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve Heavy Blend Youth Hooded Sweatshirt Soft Sweatshirt Graphic Hoody Winter Wear for Boys Kids Cute Pullovers Top Hoodies for Teen Girls Cat Ears Clothes for Girls","15872718547","Review","3282","false","2025-03-30 21:21:55","2025-03-30 21:21:55","","","Manual","0","0","75WUXPQCBIBL"
"RRTASK121800346","US - Marketplace Item Risk Reviewers PHL","","svcsn_tns","","P3","Item-CA-1","Open","Kcodviy Girl's Hoodie Long Sleeve 18 Month Jacket Soft Sweatshirt Graphic Hoody Baby Boys Fleece Jacket Kids Cute Pullovers Top Baby Hoodies for Boys Clothes for Girls","15873413834","Review","3282","false","2025-03-30 21:21:55","2025-03-30 21:21:55","","","Manual","0","0","75WUXPQCBIBL"
